100
2 0
1 1
o 1 1
3 0
100 1
x 1 85
35 2
o 1 12
+ 1 11
100 5
+ 1 21
+ 1 15
+ 1 16
+ 1 1
+ 1 3
100 1
x 1 56
100 4
+ 1 1
+ 1 6
+ 1 9
+ 1 3
100 100
+ 1 52
+ 1 5
+ 1 29
+ 1 100
+ 1 53
+ 1 78
+ 1 51
+ 1 72
+ 1 87
+ 1 80
+ 1 65
+ 1 6
+ 1 35
+ 1 8
+ 1 98
+ 1 33
+ 1 18
+ 1 84
+ 1 16
+ 1 66
+ 1 42
+ 1 19
+ 1 20
+ 1 73
+ 1 17
+ 1 11
+ 1 77
+ 1 24
+ 1 49
+ 1 71
+ 1 34
+ 1 46
+ 1 4
+ 1 48
+ 1 96
+ 1 2
+ 1 92
+ 1 93
+ 1 70
+ 1 69
+ 1 44
+ 1 91
+ 1 38
+ 1 75
+ 1 68
+ 1 90
+ 1 31
+ 1 99
+ 1 64
+ 1 32
+ 1 88
+ 1 25
+ 1 82
+ 1 81
+ 1 26
+ 1 74
+ 1 58
+ 1 28
+ 1 59
+ 1 79
o 1 14
+ 1 36
+ 1 12
+ 1 1
+ 1 89
+ 1 60
+ 1 86
+ 1 39
+ 1 37
+ 1 43
+ 1 27
+ 1 95
+ 1 7
+ 1 50
+ 1 40
+ 1 30
+ 1 61
+ 1 9
+ 1 56
+ 1 83
+ 1 21
+ 1 94
+ 1 54
+ 1 76
+ 1 57
+ 1 3
+ 1 15
+ 1 45
+ 1 47
+ 1 85
+ 1 13
+ 1 63
+ 1 62
+ 1 97
+ 1 67
+ 1 10
+ 1 55
+ 1 23
+ 1 22
+ 1 41
100 6
+ 1 12
+ 1 1
+ 1 45
+ 1 6
+ 1 17
+ 1 71
25 2
+ 1 15
x 1 6
100 3
+ 1 1
+ 1 7
+ 1 54
100 6
+ 1 99
+ 1 7
+ 1 8
+ 1 5
+ 1 3
+ 1 1
86 2
x 1 78
+ 1 7
36 2
o 1 34
+ 1 26
3 1
o 1 2
100 100
+ 1 59
+ 1 66
+ 1 54
+ 1 64
+ 1 29
+ 1 53
+ 1 74
+ 1 23
+ 1 84
+ 1 32
+ 1 83
+ 1 86
+ 1 15
+ 1 96
+ 1 7
+ 1 12
+ 1 58
+ 1 46
+ 1 27
+ 1 35
+ 1 4
+ 1 21
+ 1 93
+ 1 48
+ 1 43
+ 1 80
+ 1 57
+ 1 56
+ 1 85
+ 1 75
+ 1 26
+ 1 3
+ 1 49
+ 1 82
+ 1 89
+ 1 60
+ 1 70
+ 1 33
+ 1 91
+ 1 20
+ 1 76
+ 1 37
+ 1 55
+ 1 31
+ 1 68
+ 1 50
+ 1 6
+ 1 63
+ 1 79
+ 1 44
+ 1 34
+ 1 24
+ 1 90
+ 1 25
+ 1 65
+ 1 99
+ 1 14
+ 1 52
+ 1 30
+ 1 77
+ 1 11
+ 1 22
+ 1 19
+ 1 97
+ 1 42
+ 1 51
+ 1 72
+ 1 92
+ 1 95
+ 1 9
+ 1 78
+ 1 45
+ 1 67
+ 1 41
+ 1 88
+ 1 62
+ 1 17
+ 1 40
+ 1 10
+ 1 71
+ 1 98
+ 1 94
+ 1 87
+ 1 69
+ 1 38
+ 1 18
+ 1 81
+ 1 36
o 1 1
+ 1 47
+ 1 100
+ 1 16
+ 1 39
+ 1 8
+ 1 61
+ 1 2
+ 1 73
+ 1 28
+ 1 5
+ 1 13
88 3
+ 1 54
o 1 63
+ 1 53
91 5
+ 1 90
+ 1 48
x 1 80
+ 1 53
+ 1 50
86 4
+ 1 59
+ 1 82
+ 1 23
o 1 73
100 6
+ 1 1
+ 1 78
+ 1 97
+ 1 23
+ 1 3
+ 1 5
29 3
x 1 1
+ 1 3
+ 1 12
100 2
+ 1 1
x 1 18
100 99
+ 1 67
+ 1 9
+ 1 34
+ 1 61
+ 1 45
+ 1 82
+ 1 16
+ 1 28
+ 1 55
+ 1 99
+ 1 20
+ 1 53
+ 1 15
+ 1 52
+ 1 7
+ 1 14
+ 1 98
+ 1 88
+ 1 68
+ 1 86
+ 1 6
+ 1 17
+ 1 64
+ 1 75
+ 1 21
+ 1 96
+ 1 50
+ 1 32
+ 1 58
+ 1 36
+ 1 65
+ 1 8
+ 1 84
+ 1 35
+ 1 94
+ 1 62
+ 1 24
+ 1 13
+ 1 91
+ 1 92
+ 1 4
+ 1 57
+ 1 97
+ 1 90
+ 1 76
+ 1 43
+ 1 87
+ 1 63
+ 1 42
+ 1 33
+ 1 83
+ 1 72
+ 1 44
+ 1 54
+ 1 85
+ 1 77
+ 1 78
+ 1 22
+ 1 19
+ 1 39
+ 1 27
+ 1 100
+ 1 37
+ 1 89
+ 1 18
+ 1 10
+ 1 30
+ 1 48
+ 1 51
+ 1 80
+ 1 31
+ 1 71
+ 1 47
+ 1 70
+ 1 40
+ 1 25
+ 1 66
+ 1 93
+ 1 95
+ 1 11
+ 1 38
+ 1 49
+ 1 29
+ 1 5
+ 1 73
+ 1 3
+ 1 41
+ 1 60
+ 1 23
+ 1 46
+ 1 59
+ 1 79
+ 1 74
+ 1 69
+ 1 1
+ 1 12
+ 1 81
+ 1 26
+ 1 56
56 2
x 1 52
+ 1 23
14 4
x 1 1
+ 1 11
+ 1 3
+ 1 8
100 5
+ 1 11
+ 1 1
+ 1 29
+ 1 3
+ 1 2
100 4
+ 1 1
x 1 39
+ 1 20
+ 1 29
100 5
+ 1 1
+ 1 28
+ 1 22
+ 1 13
x 1 69
51 2
x 1 17
+ 1 15
100 5
+ 1 14
+ 1 12
+ 1 4
+ 1 7
+ 1 1
83 5
+ 1 11
x 1 43
+ 1 49
+ 1 7
+ 1 68
100 2
+ 1 19
+ 1 1
86 4
+ 1 44
+ 1 48
+ 1 60
o 1 33
100 6
+ 1 2
+ 1 34
+ 1 29
+ 1 7
+ 1 3
+ 1 1
64 2
o 1 6
+ 1 7
100 3
+ 1 1
+ 1 7
+ 1 31
100 3
+ 1 4
+ 1 1
+ 1 29
22 4
+ 1 12
o 1 21
+ 1 8
+ 1 13
1 0
25 2
+ 1 3
o 1 6
100 3
+ 1 2
+ 1 33
+ 1 1
100 1
x 1 69
100 100
+ 1 48
+ 1 24
+ 1 87
+ 1 77
+ 1 99
+ 1 20
+ 1 41
+ 1 13
+ 1 92
+ 1 80
+ 1 82
+ 1 5
+ 1 96
+ 1 53
+ 1 58
+ 1 75
+ 1 19
+ 1 46
+ 1 65
+ 1 2
+ 1 16
+ 1 36
+ 1 30
+ 1 57
+ 1 11
+ 1 55
+ 1 60
+ 1 7
+ 1 28
+ 1 39
+ 1 79
+ 1 26
+ 1 91
+ 1 35
+ 1 74
+ 1 14
+ 1 21
+ 1 51
+ 1 63
+ 1 68
+ 1 25
+ 1 3
+ 1 22
+ 1 37
+ 1 93
+ 1 76
+ 1 95
+ 1 83
+ 1 6
+ 1 34
+ 1 66
+ 1 70
+ 1 56
+ 1 23
+ 1 85
+ 1 12
+ 1 10
+ 1 4
+ 1 61
+ 1 1
+ 1 43
+ 1 49
+ 1 71
+ 1 81
+ 1 54
+ 1 67
+ 1 52
+ 1 89
+ 1 33
+ 1 9
+ 1 38
+ 1 31
+ 1 59
+ 1 27
+ 1 50
+ 1 18
+ 1 15
+ 1 97
+ 1 100
+ 1 29
+ 1 47
+ 1 64
+ 1 86
+ 1 45
+ 1 73
+ 1 94
+ 1 62
+ 1 98
+ 1 32
+ 1 78
+ 1 88
+ 1 42
+ 1 84
+ 1 8
+ 1 90
+ 1 17
+ 1 69
+ 1 44
+ 1 72
+ 1 40
100 3
+ 1 1
+ 1 3
+ 1 6
100 3
+ 1 4
+ 1 1
+ 1 3
78 3
o 1 43
+ 1 35
+ 1 42
39 3
x 1 10
+ 1 22
+ 1 2
99 0
1 1
x 1 1
58 2
o 1 9
+ 1 24
83 1
x 1 1
88 2
+ 1 2
o 1 59
100 2
+ 1 1
+ 1 2
5 2
+ 1 3
x 1 5
56 3
+ 1 36
+ 1 23
o 1 7
92 2
+ 1 40
x 1 54
100 7
+ 1 68
+ 1 5
+ 1 1
+ 1 2
+ 1 63
+ 1 7
+ 1 20
100 100
+ 1 90
+ 1 30
+ 1 88
+ 1 54
+ 1 31
+ 1 85
+ 1 11
+ 1 72
+ 1 39
+ 1 56
+ 1 89
+ 1 68
+ 1 100
+ 1 80
+ 1 75
+ 1 7
+ 1 86
+ 1 70
+ 1 33
+ 1 44
+ 1 9
+ 1 66
+ 1 60
+ 1 79
+ 1 29
+ 1 24
+ 1 5
+ 1 83
+ 1 8
+ 1 51
+ 1 67
+ 1 74
+ 1 82
+ 1 20
+ 1 34
+ 1 19
+ 1 10
+ 1 76
+ 1 84
+ 1 36
+ 1 38
+ 1 99
+ 1 28
+ 1 58
+ 1 63
+ 1 50
+ 1 1
+ 1 27
+ 1 64
+ 1 62
x 1 2
+ 1 37
+ 1 26
+ 1 81
+ 1 61
+ 1 42
+ 1 98
+ 1 32
+ 1 96
+ 1 65
+ 1 12
+ 1 16
+ 1 17
+ 1 48
+ 1 52
+ 1 21
+ 1 87
+ 1 97
+ 1 45
+ 1 43
+ 1 71
+ 1 47
+ 1 53
+ 1 59
+ 1 69
+ 1 35
+ 1 22
+ 1 6
+ 1 23
+ 1 4
+ 1 14
+ 1 46
+ 1 57
+ 1 25
+ 1 3
+ 1 15
+ 1 13
+ 1 40
+ 1 49
+ 1 94
+ 1 18
+ 1 77
+ 1 91
+ 1 73
+ 1 93
+ 1 78
+ 1 95
+ 1 41
+ 1 92
+ 1 55
100 2
+ 1 1
x 1 69
1 1
+ 1 1
81 3
x 1 50
+ 1 78
+ 1 46
86 5
+ 1 35
+ 1 2
+ 1 47
+ 1 43
x 1 31
100 5
+ 1 5
+ 1 1
+ 1 70
+ 1 81
+ 1 33
100 2
+ 1 1
x 1 8
100 7
+ 1 51
+ 1 1
+ 1 5
+ 1 7
+ 1 54
+ 1 98
+ 1 35
8 2
+ 1 6
x 1 7
22 1
o 1 10
100 4
+ 1 2
+ 1 1
+ 1 26
+ 1 6
91 3
+ 1 88
+ 1 56
x 1 46
100 100
+ 1 75
+ 1 28
+ 1 42
+ 1 73
+ 1 67
+ 1 99
+ 1 35
+ 1 65
+ 1 98
+ 1 56
+ 1 7
+ 1 91
+ 1 85
+ 1 53
+ 1 16
+ 1 12
+ 1 3
+ 1 36
+ 1 33
+ 1 30
+ 1 89
+ 1 40
+ 1 21
+ 1 66
+ 1 45
+ 1 52
+ 1 13
+ 1 94
+ 1 61
+ 1 64
+ 1 57
+ 1 87
+ 1 88
+ 1 59
+ 1 43
+ 1 17
+ 1 82
+ 1 93
+ 1 9
+ 1 79
+ 1 2
+ 1 24
+ 1 29
+ 1 72
+ 1 63
+ 1 4
+ 1 27
+ 1 51
+ 1 69
+ 1 96
+ 1 5
+ 1 50
+ 1 62
+ 1 55
+ 1 47
+ 1 32
+ 1 58
+ 1 25
+ 1 78
+ 1 11
+ 1 80
+ 1 49
+ 1 68
+ 1 92
+ 1 95
+ 1 81
+ 1 48
x 1 1
+ 1 46
+ 1 22
+ 1 19
+ 1 70
+ 1 83
+ 1 34
+ 1 26
+ 1 10
+ 1 15
+ 1 77
+ 1 39
+ 1 44
+ 1 41
+ 1 23
+ 1 86
+ 1 6
+ 1 20
+ 1 38
+ 1 18
+ 1 100
+ 1 84
+ 1 8
+ 1 76
+ 1 31
+ 1 60
+ 1 71
+ 1 54
+ 1 97
+ 1 90
+ 1 37
+ 1 74
+ 1 14
39 1
o 1 25
100 9
+ 1 1
+ 1 100
+ 1 15
+ 1 19
+ 1 11
+ 1 13
+ 1 64
+ 1 60
+ 1 36
48 3
x 1 18
+ 1 5
+ 1 34
44 2
x 1 39
+ 1 35
100 4
+ 1 4
+ 1 38
x 1 28
+ 1 1
100 1
x 1 72
100 4
+ 1 12
+ 1 1
x 1 87
+ 1 3
43 2
o 1 19
+ 1 32
100 4
+ 1 94
+ 1 58
+ 1 1
+ 1 28
43 1
x 1 22
5 3
+ 1 1
o 1 4
+ 1 5
100 100
+ 1 22
+ 1 76
+ 1 43
+ 1 78
+ 1 56
+ 1 62
+ 1 50
+ 1 92
+ 1 89
+ 1 85
+ 1 21
+ 1 52
+ 1 16
+ 1 32
+ 1 13
+ 1 66
+ 1 94
+ 1 36
+ 1 3
+ 1 96
+ 1 79
+ 1 83
+ 1 9
+ 1 69
+ 1 72
+ 1 93
+ 1 54
+ 1 19
+ 1 45
+ 1 23
+ 1 82
+ 1 20
+ 1 25
+ 1 34
+ 1 35
+ 1 84
+ 1 14
+ 1 90
+ 1 60
+ 1 65
+ 1 67
+ 1 98
+ 1 77
+ 1 15
+ 1 42
+ 1 68
+ 1 63
+ 1 44
+ 1 61
+ 1 31
+ 1 11
+ 1 27
+ 1 1
+ 1 53
+ 1 37
+ 1 30
+ 1 51
+ 1 58
+ 1 49
o 1 2
+ 1 39
+ 1 71
+ 1 81
+ 1 8
+ 1 57
+ 1 99
+ 1 28
+ 1 12
+ 1 73
+ 1 4
+ 1 95
+ 1 47
+ 1 33
+ 1 40
+ 1 29
+ 1 6
+ 1 87
+ 1 75
+ 1 100
+ 1 80
+ 1 91
+ 1 86
+ 1 5
+ 1 18
+ 1 10
+ 1 46
+ 1 74
+ 1 7
+ 1 70
+ 1 17
+ 1 41
+ 1 38
+ 1 59
+ 1 55
+ 1 48
+ 1 24
+ 1 88
+ 1 97
+ 1 64
+ 1 26
60 2
+ 1 51
o 1 32
32 2
o 1 9
+ 1 27
100 99
+ 1 4
+ 1 27
+ 1 7
+ 1 81
+ 1 25
+ 1 52
+ 1 31
+ 1 67
+ 1 86
+ 1 55
+ 1 66
+ 1 5
+ 1 99
+ 1 77
+ 1 90
+ 1 96
+ 1 89
+ 1 3
+ 1 38
+ 1 43
+ 1 92
+ 1 18
+ 1 8
+ 1 22
+ 1 70
+ 1 75
+ 1 23
+ 1 83
+ 1 85
+ 1 46
+ 1 19
+ 1 2
+ 1 11
+ 1 50
+ 1 82
+ 1 17
+ 1 53
+ 1 73
+ 1 24
+ 1 56
+ 1 47
+ 1 16
+ 1 79
+ 1 61
+ 1 57
+ 1 63
+ 1 40
+ 1 44
+ 1 58
+ 1 35
+ 1 49
+ 1 10
+ 1 88
+ 1 14
+ 1 93
+ 1 59
+ 1 80
+ 1 39
+ 1 64
+ 1 36
+ 1 71
+ 1 13
+ 1 100
+ 1 33
+ 1 37
+ 1 20
+ 1 45
+ 1 84
+ 1 32
+ 1 65
+ 1 69
+ 1 51
+ 1 29
+ 1 34
+ 1 54
+ 1 6
+ 1 76
+ 1 21
+ 1 91
+ 1 87
+ 1 30
+ 1 60
+ 1 26
+ 1 98
+ 1 74
+ 1 94
+ 1 68
+ 1 78
+ 1 97
+ 1 48
+ 1 15
+ 1 95
+ 1 41
+ 1 9
+ 1 42
+ 1 72
+ 1 12
+ 1 62
+ 1 28
100 2
+ 1 1
+ 1 3
100 3
+ 1 1
+ 1 10
x 1 100
71 4
+ 1 9
+ 1 22
o 1 56
+ 1 46
100 4
+ 1 5
+ 1 23
+ 1 9
+ 1 1
100 1
+ 1 1
83 1
x 1 75
100 0
44 1
x 1 12
2 2
+ 1 2
+ 1 1
98 3
+ 1 53
x 1 83
+ 1 50
72 3
+ 1 4
+ 1 21
o 1 29
36 2
x 1 17
+ 1 23
100 7
+ 1 3
+ 1 2
+ 1 13
+ 1 75
+ 1 4
+ 1 11
+ 1 1
13 1
o 1 8
